,precision,recall,f1-score,support
0,1.0,1.0,1.0,10.0
1,0.8333333333333334,1.0,0.9090909090909091,10.0
2,1.0,0.8,0.8888888888888888,10.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.9444444444444445,0.9333333333333332,0.9326599326599326,30.0
weighted avg,0.9444444444444445,0.9333333333333333,0.9326599326599326,30.0
